,종목코드,종목명,fullCode
0,A000020,동화약품,KR7000020008
1,A000040,KR모터스,KR7000040006
2,A000050,경방,KR7000050005
3,A000070,삼양홀딩스,KR7000070003
4,A000075,삼양홀딩스우,KR7000071001
5,A000080,하이트진로,KR7000080002
6,A000087,하이트진로2우B,KR7000082008
7,A000100,유한양행,KR7000100008
8,A000105,유한양행우,KR7000101006
9,A000120,CJ대한통운,KR7000120006
10,A000140,하이트진로홀딩스,KR7000140004
11,A000145,하이트진로홀딩스우,KR7000141002
12,A000150,두산,KR7000150003
13,A000155,두산우,KR7000151001
14,A000157,두산2우B,KR7000152009
15,A000180,성창기업지주,KR7000180000
16,A000210,DL,KR7000210005
17,A000215,DL우,KR7000211003
18,A000220,유유제약,KR7000220004
19,A000225,유유제약1우,KR7000221002
20,A000227,유유제약2우B,KR7000222000
21,A000230,일동홀딩스,KR7000230003
22,A000240,한국앤컴퍼니,KR7000240002
23,A000250,삼천당제약,KR7000250001
24,A000270,기아,KR7000270009
25,A000300,대유플러스,KR7000300004
26,A000320,노루홀딩스,KR7000320002
27,A000325,노루홀딩스우,KR7000321000
28,A000370,한화손해보험,KR7000370007
29,A000390,삼화페인트,KR7000390005
30,A000400,롯데손해보험,KR7000400002
31,A000430,대원강업,KR7000430009
32,A000440,중앙에너비스,KR7000440008
33,A000480,조선내화,KR7000480004
34,A000490,대동,KR7000490003
35,A000500,가온전선,KR7000500009
36,A000520,삼일제약,KR7000520007
37,A000540,흥국화재,KR7000540005
38,A000545,흥국화재우,KR7000541003
39,A000547,흥국화재2우B,KR7000542001
40,A000590,CS홀딩스,KR7000590000
41,A000640,동아쏘시오홀딩스,KR7000640003
42,A000650,천일고속,KR7000650002
43,A000660,SK하이닉스,KR7000660001
44,A000670,영풍,KR7000670000
45,A000680,LS네트웍스,KR7000680009
46,A000700,유수홀딩스,KR7000700005
47,A000720,현대건설,KR7000720003
48,A000725,현대건설우,KR7000721001
49,A000760,이화산업,KR7000760009
50,A000800,경남기업,KR7000800003
51,A000810,삼성화재,KR7000810002
52,A000815,삼성화재우,KR7000811000
53,A000850,화천기공,KR7000850008
54,A000860,강남제비스코,KR7000860007
55,A000880,한화,KR7000880005
56,A000885,한화우,KR7000881003
57,A00088K,한화3우B,KR700088K015
58,A000890,보해양조,KR7000890004
59,A000910,유니온,KR7000910000
60,A000950,전방,KR7000950006
61,A000970,한국주철관,KR7000970004
62,A000990,DB하이텍,KR7000990002
63,A000995,DB하이텍1우,KR7000991000
64,A001000,신라섬유,KR7001000009
65,A001020,페이퍼코리아,KR7001020007
66,A001040,CJ,KR7001040005
67,A001045,CJ우,KR7001041003
68,A00104K,CJ4우(전환),KR700104K010
69,A001060,JW중외제약,KR7001060003
70,A001065,JW중외제약우,KR7001061001
71,A001067,JW중외제약2우B,KR7001062009
72,A001070,대한방직,KR7001070002
73,A001080,만호제강,KR7001080001
74,A001120,LX인터내셔널,KR7001120005
75,A001130,대한제분,KR7001130004
76,A001140,국보,KR7001140003
77,A001200,유진투자증권,KR7001200005
78,A001210,금호전기,KR7001210004
79,A001230,동국홀딩스,KR7001230002
80,A001250,GS글로벌,KR7001250000
81,A001260,남광토건,KR7001260009
82,A001270,부국증권,KR7001270008
83,A001275,부국증권우,KR7001271006
84,A001290,상상인증권,KR7001290006
85,A001340,백광산업,KR7001340009
86,A001360,삼성제약,KR7001360007
87,A001380,SG글로벌,KR7001380005
88,A001390,KG케미칼,KR7001390004
89,A001420,태원물산,KR7001420009
90,A001430,세아베스틸지주,KR7001430008
91,A001440,대한전선,KR7001440007
92,A001450,현대해상,KR7001450006
93,A001460,BYC,KR7001460005
94,A001465,BYC우,KR7001461003
95,A001470,삼부토건,KR7001470004
96,A001490,천지산업,KR7001490002
97,A001500,현대차증권,KR7001500008
98,A001510,SK증권,KR7001510007
99,A001515,SK증권우,KR7001511005
100,A001520,동양,KR7001520006
101,A001525,동양우,KR7001521004
102,A001527,동양2우B,KR7001522002
103,A001530,DI동일,KR7001530005
104,A001540,안국약품,KR7001540004
105,A001550,조비,KR7001550003
106,A001560,제일연마,KR7001560002
107,A001570,금양,KR7001570001
108,A001620,케이비아이동국실업,KR7001620004
109,A001630,종근당홀딩스,KR7001630003
110,A001680,대상,KR7001680008
111,A001685,대상우,KR7001681006
112,A001720,신영증권,KR7001720002
113,A001725,신영증권우,KR7001721000
114,A001740,SK네트웍스,KR7001740000
115,A001745,SK네트웍스우,KR7001741008
116,A001750,한양증권,KR7001750009
117,A001755,한양증권우,KR7001751007
118,A001770,SHD,KR7001770007
119,A001780,알루코,KR7001780006
120,A001790,대한제당,KR7001790005
121,A001795,대한제당우,KR7001791003
122,A001800,오리온홀딩스,KR7001800002
123,A001810,무림SP,KR7001810001
124,A001820,삼화콘덴서,KR7001820000
125,A001840,이화공영,KR7001840008
126,A001880,DL건설,KR7001880004
127,A001890,에이치디씨영창,KR7001890003
128,A001940,KISCO홀딩스,KR7001940006
129,A001970,SG신성건설,KR7001970003
130,A002020,코오롱,KR7002020006
131,A002025,코오롱우,KR7002021004
132,A002030,아세아,KR7002030005
133,A002070,비비안,KR7002070001
134,A002100,경농,KR7002100006
135,A002140,고려산업,KR7002140002
136,A002150,도화엔지니어링,KR7002150001
137,A002170,삼양통상,KR7002170009
138,A002200,한국수출포장,KR7002200004
139,A002210,동성제약,KR7002210003
140,A002220,한일철강,KR7002220002
141,A002230,피에스텍,KR7002230001
142,A002240,고려제강,KR7002240000
143,A002290,삼일기업공사,KR7002290005
144,A002310,아세아제지,KR7002310001
145,A002320,한진,KR7002320000
146,A002350,넥센타이어,KR7002350007
147,A002355,넥센타이어1우B,KR7002351005
148,A002360,SH에너지화학,KR7002360006
149,A002380,KCC,KR7002380004
150,A002390,한독,KR7002390003
151,A002410,범양건영,KR7002410009
152,A002420,세기상사,KR7002420008
153,A002450,삼익악기,KR7002450005
154,A002460,화성산업,KR7002460004
155,A002470,신영씨앤디,KR7002470003
156,A002480,범양사,KR7002480002
157,A002580,삼미,KR7002580009
158,A002600,조흥,KR7002600005
159,A002620,제일파마홀딩스,KR7002620003
160,A002630,오리엔트바이오,KR7002630002
161,A002680,한탑,KR7002680007
162,A002690,동일제강,KR7002690006
163,A002700,신일전자,KR7002700003
164,A002710,TCC스틸,KR7002710002
165,A002720,국제약품,KR7002720001
166,A002760,보락,KR7002760007
167,A002780,진흥기업,KR7002780005
168,A002785,진흥기업우B,KR7002781003
169,A002787,진흥기업2우B,KR7002782001
170,A002790,아모레G,KR7002790004
171,A002795,아모레G우,KR7002791002
172,A00279K,아모레G3우(전환),KR700279K010
173,A002800,신신제약,KR7002800001
174,A002810,삼영무역,KR7002810000
175,A002820,SUN&L,KR7002820009
176,A002840,미원상사,KR7002840007
177,A002870,신풍,KR7002870004
178,A002880,대유에이텍,KR7002880003
179,A002900,TYM,KR7002900009
180,A002920,유성기업,KR7002920007
181,A002960,한국쉘석유,KR7002960003
182,A002990,금호건설,KR7002990000
183,A002995,금호건설우,KR7002991008
184,A003000,부광약품,KR7003000007
185,A003010,혜인,KR7003010006
186,A003030,세아제강지주,KR7003030004
187,A003060,에이프로젠바이오로직스,KR7003060001
188,A003070,코오롱글로벌,KR7003070000
189,A003075,코오롱글로벌우,KR7003071008
190,A003080,성보화학,KR7003080009
191,A003090,대웅,KR7003090008
192,A003100,선광,KR7003100005
193,A003120,일성신약,KR7003120003
194,A003160,디아이,KR7003160009
195,A003200,일신방직,KR7003200003
196,A003220,대원제약,KR7003220001
197,A003230,삼양식품,KR7003230000
198,A003240,태광산업,KR7003240009
199,A003260,서광,KR7003260007
200,A003280,흥아해운,KR7003280005
201,A003300,한일홀딩스,KR7003300001
202,A003310,대주산업,KR7003310000
203,A003340,SK에코플랜트,KR7003340007
204,A003350,한국화장품제조,KR7003350006
205,A003380,하림지주,KR7003380003
206,A003410,쌍용C&E,KR7003410008
207,A003460,유화증권,KR7003460003
208,A003465,유화증권우,KR7003461001
209,A003470,유안타증권,KR7003470002
210,A003475,유안타증권우,KR7003471000
211,A003480,한진중공업홀딩스,KR7003480001
212,A003490,대한항공,KR7003490000
213,A003495,대한항공우,KR7003491008
214,A003520,영진약품,KR7003520004
215,A003530,한화투자증권,KR7003530003
216,A003535,한화투자증권우,KR7003531001
217,A003540,대신증권,KR7003540002
218,A003545,대신증권우,KR7003541000
219,A003547,대신증권2우B,KR7003542008
220,A003550,LG,KR7003550001
221,A003555,LG우,KR7003551009
222,A003560,IHQ,KR7003560000
223,A003570,SNT다이내믹스,KR7003570009
224,A003580,HLB글로벌,KR7003580008
225,A003610,방림,KR7003610003
226,A003620,KG모빌리티,KR7003620002
227,A003650,미창석유,KR7003650009
228,A003670,포스코퓨처엠,KR7003670007
229,A003680,한성기업,KR7003680006
230,A003690,코리안리,KR7003690005
231,A003720,삼영,KR7003720000
232,A003780,진양산업,KR7003780004
233,A003800,에이스침대,KR7003800000
234,A003830,대한화섬,KR7003830007
235,A003850,보령,KR7003850005
236,A003920,남양유업,KR7003920006
237,A003925,남양유업우,KR7003921004
238,A003960,사조대림,KR7003960002
239,A004000,롯데정밀화학,KR7004000006
240,A004020,현대제철,KR7004020004
241,A004060,SG세계물산,KR7004060000
242,A004080,신흥,KR7004080008
243,A004090,한국석유,KR7004090007
244,A004100,태양금속,KR7004100004
245,A004105,태양금속우,KR7004101002
246,A004140,동방,KR7004140000
247,A004150,한솔홀딩스,KR7004150009
248,A004170,신세계,KR7004170007
249,A004250,NPC,KR7004250007
250,A004255,NPC우,KR7004251005
251,A004270,남성,KR7004270005
252,A004310,현대약품,KR7004310009
253,A004360,세방,KR7004360004
254,A004365,세방우,KR7004361002
255,A004370,농심,KR7004370003
256,A004380,삼익THK,KR7004380002
257,A004410,서울식품,KR7004410007
258,A004415,서울식품우,KR7004411005
259,A004430,송원산업,KR7004430005
260,A004440,삼일씨엔에스,KR7004440004
261,A004450,삼화왕관,KR7004450003
262,A004490,세방전지,KR7004490009
263,A004540,깨끗한나라,KR7004540001
264,A004545,깨끗한나라우,KR7004541009
265,A004560,현대비앤지스틸,KR7004560009
266,A004565,현대비앤지스틸우,KR7004561007
267,A004590,한국가구,KR7004590006
268,A004650,창해에탄올,KR7004650008
269,A004690,삼천리,KR7004690004
270,A004700,조광피혁,KR7004700001
