,일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,국가지자체,사모펀드
0,20230626,-37689,60658,-27716,395,-3020,-377,-1569,2737,-12032,5562,0,-13848
1,20230623,-36133,60811,-29496,-1599,-2958,-135,-1565,2721,-12029,5611,0,-13930
2,20230622,-42095,62689,-25050,2311,-2762,134,-1576,2732,-11880,5283,0,-14009
3,20230621,-41040,63757,-27190,1521,-2637,0,-1395,2730,-13283,5273,0,-14126
4,20230620,-47247,65756,-25858,1021,-2569,219,-1369,2726,-12316,8178,0,-13573
5,20230619,-51330,68568,-24510,481,-2524,342,-1363,2756,-11392,8118,0,-12816
6,20230616,-55630,72172,-23737,-1819,-2419,581,-1355,2812,-9425,8043,0,-12119
7,20230615,-53543,67893,-21593,-604,-2445,518,-1346,2893,-8345,8102,0,-12270
8,20230614,-55913,68534,-19688,-1393,-2352,684,-1336,2908,-6246,7947,0,-11962
9,20230613,-56306,67406,-18405,-1328,-2353,406,-1327,2912,-4567,8182,0,-12156
10,20230612,-53815,66039,-19743,-5619,-2009,513,-1293,2912,-2261,8398,0,-11997
11,20230609,-57273,69458,-19594,-8031,-1429,756,-1290,2863,-724,8308,0,-11750
12,20230608,-49033,64650,-23258,-10747,-1413,-184,-1251,2791,-695,8492,0,-11769
13,20230607,-49697,68488,-26443,-13037,-2042,-496,-1219,2809,-916,8509,0,-11552
14,20230605,-46747,68891,-29931,-17071,-1899,-441,-1225,2766,-645,8619,0,-11427
15,20230602,-42402,69086,-34459,-20065,-2039,-837,-1234,2749,-973,8573,0,-12068
16,20230601,-36641,65359,-36458,-21929,-1925,-1342,-1142,2708,-558,8609,0,-12277
17,20230531,-40224,65441,-32611,-20407,-1744,-693,-1115,2677,340,8358,0,-11678
18,20230530,-40691,63287,-29738,-20066,-1532,-318,-1115,2541,1086,8156,0,-10334
19,20230526,-35271,56536,-28612,-20595,-1151,386,-1066,2400,1324,8334,0,-9911
20,20230525,-31141,47424,-23551,-17438,-992,743,-1028,2394,2356,8244,0,-9588
21,20230524,-34973,45180,-17406,-12590,-903,867,-868,2366,3195,8193,0,-9477
22,20230523,-36304,44245,-15552,-11203,-931,1193,-860,2326,2803,8131,0,-8883
23,20230522,-32920,44780,-19545,-14741,-993,1361,-835,2254,2352,8201,0,-8945
24,20230519,-25042,41786,-24875,-19915,-877,1448,-832,2203,2181,8610,0,-9086
25,20230518,-14035,36207,-30456,-26485,-818,1280,-836,2143,3340,8732,0,-9084
26,20230517,-9569,30829,-29639,-25644,-900,1108,-860,2083,3238,8809,0,-8667
27,20230516,-6251,29189,-31213,-26041,-987,747,-865,2002,2660,8714,0,-8731
28,20230515,-4970,26906,-30639,-25921,-973,763,-865,1982,2651,9142,0,-8279
29,20230512,-3941,27404,-32088,-26840,-970,714,-860,1940,2171,9036,0,-8245
30,20230511,-7517,29878,-31022,-26226,-825,849,-856,1869,2171,9067,0,-8007
31,20230510,-6668,29860,-31869,-26363,-815,588,-913,1835,1995,9066,0,-8198
32,20230509,-6727,28705,-30758,-25252,-804,634,-944,1830,2609,9185,0,-8835
33,20230508,-4953,27553,-31394,-25395,-792,560,-961,1811,2327,9206,0,-8946
34,20230504,2027,25023,-35888,-29853,-957,205,-958,1759,3447,9224,0,-9531
35,20230503,-239,24627,-33195,-27243,-1114,131,-954,1697,4084,9203,0,-9794
36,20230502,-3720,25536,-30563,-25328,-1097,377,-944,1646,4283,9151,0,-9500
37,20230428,1824,22089,-32848,-27247,-1095,366,-956,1599,4081,9312,0,-9593
38,20230427,464,19111,-29298,-23775,-1138,271,-973,1562,4281,10126,0,-9522
39,20230426,-1404,16311,-24447,-18058,-1241,23,-981,1583,3957,9970,0,-9726
40,20230425,-3622,17236,-22898,-17438,-1199,498,-992,1590,3804,9726,0,-9157
41,20230424,-3600,17150,-22898,-17924,-1272,1333,-1027,1616,3561,9790,0,-9180
42,20230421,-2772,17484,-23941,-20411,-1220,2100,-1060,1638,3948,9638,0,-8933
43,20230420,-823,14706,-23101,-22734,-992,3747,-1056,1639,4349,9649,0,-8053
44,20230419,51,13164,-22343,-23297,-975,4188,-1258,1650,4793,9584,0,-7445
45,20230418,435,13233,-22791,-23795,-854,4289,-1259,1650,4332,9575,0,-7156
46,20230417,-3199,9346,-15690,-18321,-830,4862,-1206,1707,4674,10020,0,-6581
47,20230414,-6576,9514,-12451,-15595,-744,4622,-1137,1742,4743,10023,0,-6089
48,20230413,-2213,7644,-15065,-17936,-803,5238,-1129,1893,4007,9944,0,-6341
49,20230412,-408,11106,-20041,-22350,-787,4522,-1135,1909,4094,9652,0,-6301
50,20230411,680,8754,-18575,-20380,-693,4306,-1166,1930,4302,9432,0,-6881
51,20230410,5596,6883,-21523,-22565,-662,4487,-1157,1986,3687,9299,0,-7307
52,20230407,12332,-521,-21240,-21993,-717,3868,-1085,2062,3830,9574,0,-7213
53,20230406,22496,-7472,-24102,-23217,-936,3159,-1060,2063,3683,9208,0,-7801
54,20230405,12936,-2559,-19119,-18374,-950,3654,-1066,2095,3401,8906,0,-7878
55,20230404,15698,-2384,-22131,-21668,-950,3401,-1075,2111,3712,8969,0,-7661
56,20230403,14893,743,-24272,-24226,-859,2971,-1071,2073,4406,8808,0,-7567
57,20230331,10031,2384,-20860,-20908,-896,2704,-1071,2084,4553,8634,0,-7327
58,20230330,17247,-4492,-21229,-22963,-912,2553,638,2089,4472,8627,0,-7106
59,20230329,18361,-7123,-16941,-22342,-907,2740,641,4871,4423,5861,0,-6368
60,20230328,21700,-7409,-20224,-24373,-921,2565,624,4896,4015,6051,0,-7029
61,20230327,24496,-6995,-23454,-27460,-878,2487,617,4919,4201,6057,0,-7340
62,20230324,24153,-6049,-24151,-29167,-831,2896,568,4903,4306,6149,0,-6827
63,20230323,22336,-7291,-21998,-26104,-751,2517,565,4781,4315,7095,0,-7322
64,20230322,26458,-9435,-24146,-27849,-797,2468,523,4680,4053,7250,0,-7223
65,20230321,29928,-11474,-25573,-28845,-830,2310,516,4557,4157,7239,0,-7435
66,20230320,30767,-10917,-26713,-29707,-838,2039,481,4454,4178,6987,0,-7314
67,20230317,29867,-8856,-27780,-30696,-847,1843,473,4297,4154,6878,0,-6997
68,20230316,31610,-9656,-28595,-31084,-799,1604,497,4127,4356,6686,0,-7289
69,20230315,30908,-8770,-28575,-29738,-708,1340,492,3983,3643,6473,0,-7578
70,20230314,33385,-8024,-31483,-32201,-818,1075,476,3817,3412,6123,0,-7234
71,20230313,27736,-1627,-31744,-32756,-785,1186,369,3587,2832,5650,0,-6168
72,20230310,31018,-1816,-34825,-33991,-733,621,350,3383,1912,5627,0,-6368
73,20230309,25886,1448,-32454,-30587,-670,211,313,3184,887,5130,0,-5792
74,20230308,22278,11179,-38252,-34861,-739,-454,203,3029,352,4817,0,-5781
75,20230307,12850,10603,-28739,-25407,-683,-382,178,2949,1,5373,0,-5393
76,20230306,15017,7197,-27393,-22564,-665,-1073,182,2773,-666,5208,0,-5377
77,20230303,22893,3927,-31975,-26085,-799,-1366,174,2615,-1059,5148,0,-5449
78,20230302,22674,4835,-32310,-26209,-712,-1610,186,2488,-833,4803,0,-5615
79,20230228,26717,-498,-31408,-23573,-797,-2200,170,2328,-884,5197,0,-6445
80,20230227,28169,2370,-35512,-26186,-708,-2890,172,2174,-1320,4963,0,-6746
81,20230224,21412,5618,-31312,-21685,-583,-3135,129,1984,-1451,4304,0,-6563
82,20230223,17814,8621,-30355,-20817,-621,-3113,103,1798,-1394,3959,0,-6303
83,20230222,21131,8513,-33358,-23361,-561,-3333,117,1650,-1327,3736,0,-6535
84,20230221,12275,10464,-26493,-18291,-521,-2948,100,1471,-896,3814,0,-5400
85,20230220,11941,10166,-25554,-16184,-564,-3268,100,1292,-1264,3415,0,-5656
86,20230217,11008,13320,-27282,-18080,-530,-3032,97,1121,-1408,2958,0,-5442
87,20230216,8777,12125,-23449,-14239,-595,-2874,90,973,-1411,2562,0,-5384
88,20230215,18143,11430,-31933,-21716,-609,-3197,90,838,-1644,2318,0,-5684
89,20230214,7981,14116,-24151,-16149,-495,-2584,93,744,-1090,2042,0,-4662
90,20230213,11833,13505,-27169,-18855,-273,-2701,27,610,-1514,1813,0,-4464
91,20230210,8408,12834,-23052,-16509,-112,-1791,27,513,-1549,1814,0,-3632
92,20230209,2860,12346,-16783,-11459,-35,-1606,10,410,-1775,1613,0,-2329
93,20230208,712,10846,-12920,-8278,33,-1730,22,291,-1673,1401,0,-1587
94,20230207,6351,4921,-12959,-7735,76,-2030,-19,201,-1410,1596,0,-2044
95,20230206,3084,5500,-10172,-5122,216,-1782,-31,156,-1371,1523,0,-2241
96,20230203,-4819,8633,-5107,17,314,-1794,1,136,-1965,1260,0,-1819
97,20230202,-657,2766,-3167,647,119,-1239,78,95,-1521,1023,0,-1350
98,20230201,2892,-2791,-392,2232,9,-1056,62,53,-763,249,0,-933
99,20230131,3074,-4750,1557,2755,-107,-1021,68,20,21,100,0,-182
