,일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드,국가지자체
0,20230623,-104015581,131827842,-24335941,-5891023,-1066647,-4838143,71992,-171677,-9727197,-3072767,-403553,-2713246,0
1,20230622,-101251643,127447896,-22762954,-4151782,-1003583,-4787555,75055,-171633,-9734864,-3036516,-396783,-2988592,0
2,20230621,-98964598,125444207,-23085993,-4097817,-943636,-4732509,75055,-171568,-10095445,-3013010,-380606,-3120073,0
3,20230620,-99882834,125974467,-22715712,-4398882,-925948,-4573906,75038,-171587,-9685438,-2995534,-380387,-3034989,0
4,20230619,-99346553,125032404,-22289925,-4461066,-918530,-4462504,74504,-170149,-9285936,-3016612,-379314,-3066244,0
5,20230616,-99523100,124649502,-21736751,-5103544,-898273,-4280613,72547,-159912,-8420867,-3009452,-380199,-2946089,0
6,20230615,-99672618,123138174,-20073165,-4063106,-899816,-4230268,71535,-112135,-7903618,-3011127,-381264,-2935757,0
7,20230614,-99314680,122445028,-19732191,-4244208,-988148,-4209996,70581,-111933,-7346600,-3021241,-376916,-2901887,0
8,20230613,-99061039,121731370,-19285002,-4196679,-973647,-4205316,70588,-111890,-6927255,-3007925,-377404,-2940803,0
9,20230612,-96313339,119886594,-20259735,-6223658,-762436,-4183906,77553,-111282,-6164706,-2953053,-360467,-2891300,0
10,20230609,-97590616,121639560,-20741155,-7420643,-665186,-4094184,71232,-107080,-5801329,-2940600,-367189,-2723965,0
11,20230608,-93800295,119167137,-22168055,-8606657,-673151,-4020378,76061,-104209,-6251140,-2842647,-356140,-2588581,0
12,20230607,-93204359,118938804,-22627440,-9739511,-821955,-3438870,74953,-51906,-6359742,-2756926,-350079,-2290409,0
13,20230605,-92952932,120202110,-24172214,-11679249,-829872,-3214828,74161,-44547,-6446172,-2723171,-353793,-2031707,0
14,20230602,-93361690,121627165,-25159972,-12747358,-924613,-3112771,71682,-41549,-6473576,-2776867,-328636,-1931787,0
15,20230601,-90851980,119179020,-25191562,-12653197,-863931,-3180434,102389,-39259,-6563583,-2706426,-429052,-1993547,0
16,20230531,-91102893,117933542,-23716838,-12212765,-742912,-2832495,95602,-29944,-6170969,-2679763,-434048,-1823355,0
17,20230530,-89956278,115938653,-23004800,-12050722,-660076,-2571466,89295,-55446,-5975263,-2555017,-422558,-1781122,0
18,20230526,-84980736,109720136,-22108848,-11094490,-486834,-2485639,84695,-97177,-6044436,-2248809,-381743,-1984967,0
19,20230525,-78518923,102027296,-20980232,-9325765,-447757,-2719823,94233,-95026,-6193801,-2165907,-362234,-2292293,0
20,20230524,-78186627,100912071,-20255220,-7955080,-472957,-2791974,51932,-79848,-6622956,-2131726,-338498,-2384337,0
21,20230523,-77421323,99533316,-19634385,-7399467,-470378,-2652323,54583,-65858,-6739589,-2148575,-329033,-2361353,0
22,20230522,-76934773,100071930,-20717275,-8609497,-466214,-2400384,53849,-65849,-6904397,-2093109,-326773,-2324783,0
23,20230519,-74514747,100004489,-23146134,-10967416,-401030,-2370041,50208,-66037,-7190369,-2046055,-297553,-2201449,0
24,20230518,-64274939,92222626,-25989329,-13776634,-359156,-2593909,28720,-74506,-7113010,-1706265,-252093,-2100834,0
25,20230517,-59951394,86724601,-25015773,-13220977,-361286,-2672937,37478,-77991,-7075316,-1527528,-229906,-1644744,0
26,20230516,-60434499,87199908,-24982079,-12837448,-362656,-2749934,36471,-71713,-7290726,-1551281,-232049,-1706073,0
27,20230515,-58163204,83969336,-25038176,-12543746,-424047,-2868687,42284,-67143,-7294072,-543651,-224305,-1882765,0
28,20230512,-57694440,83681586,-25229645,-12636582,-395318,-2872180,54253,-65459,-7537970,-533397,-224104,-1776389,0
29,20230511,-57788796,83435457,-24931504,-12357834,-345106,-2921344,54232,-65436,-7548777,-492340,-222817,-1747239,0
30,20230510,-58386877,84214868,-25130164,-12518310,-342991,-2956525,44674,-65136,-7471904,-470694,-227133,-1819972,0
31,20230509,-59782014,84871776,-24272514,-12209940,-325705,-2931808,39674,-24421,-7194729,-586241,-231007,-1625585,0
32,20230508,-59992687,85320314,-24482007,-12350874,-274720,-2840331,32182,-3838,-7212912,-613303,-232317,-1831514,0
33,20230504,-57333196,84180153,-26041425,-13935840,-300992,-2795803,37174,-7395,-6740411,-581443,-224089,-2298158,0
34,20230503,-57453907,82841935,-24563778,-12822046,-279192,-2777565,35345,-7202,-6512479,-599563,-224687,-2200639,0
35,20230502,-57487715,81786276,-23508681,-11861056,-320626,-2690835,33468,-9347,-6577953,-561525,-228355,-2082332,0
36,20230428,-55870120,80603493,-24034073,-12665808,-316693,-2627511,33599,-10437,-6666172,-485448,-213852,-1781051,0
